,Dataset,Model,Layer,Iteration,Accuracy
401,EventsAdapt,bert-large-cased,16,2,0.717948717948718
402,EventsAdapt,bert-large-cased,16,3,0.6602564102564102
403,EventsAdapt,bert-large-cased,16,4,0.717948717948718
404,EventsAdapt,bert-large-cased,16,5,0.6602564102564102
405,EventsAdapt,bert-large-cased,16,6,0.7243589743589743
406,EventsAdapt,bert-large-cased,16,7,0.7051282051282052
407,EventsAdapt,bert-large-cased,16,8,0.6923076923076923
408,EventsAdapt,bert-large-cased,16,9,0.6474358974358975
409,EventsAdapt,bert-large-cased,16,10,0.717948717948718
410,EventsAdapt,bert-large-cased,17,1,0.75
411,EventsAdapt,bert-large-cased,17,2,0.8269230769230769
412,EventsAdapt,bert-large-cased,17,3,0.8269230769230769
413,EventsAdapt,bert-large-cased,17,4,0.7756410256410257
414,EventsAdapt,bert-large-cased,17,5,0.7884615384615384
415,EventsAdapt,bert-large-cased,17,6,0.8525641025641025
416,EventsAdapt,bert-large-cased,17,7,0.7307692307692307
417,EventsAdapt,bert-large-cased,17,8,0.7948717948717948
418,EventsAdapt,bert-large-cased,17,9,0.8141025641025641
419,EventsAdapt,bert-large-cased,17,10,0.7692307692307693
420,EventsAdapt,bert-large-cased,18,1,0.7692307692307693
421,EventsAdapt,bert-large-cased,18,2,0.7884615384615384
422,EventsAdapt,bert-large-cased,18,3,0.782051282051282
423,EventsAdapt,bert-large-cased,18,4,0.7564102564102564
424,EventsAdapt,bert-large-cased,18,5,0.7435897435897436
425,EventsAdapt,bert-large-cased,18,6,0.8141025641025641
426,EventsAdapt,bert-large-cased,18,7,0.7756410256410257
427,EventsAdapt,bert-large-cased,18,8,0.8012820512820513
428,EventsAdapt,bert-large-cased,18,9,0.7948717948717948
429,EventsAdapt,bert-large-cased,18,10,0.8333333333333334
430,EventsAdapt,bert-large-cased,19,1,0.8397435897435898
431,EventsAdapt,bert-large-cased,19,2,0.7948717948717948
432,EventsAdapt,bert-large-cased,19,3,0.8205128205128205
433,EventsAdapt,bert-large-cased,19,4,0.8269230769230769
434,EventsAdapt,bert-large-cased,19,5,0.7884615384615384
435,EventsAdapt,bert-large-cased,19,6,0.8461538461538461
436,EventsAdapt,bert-large-cased,19,7,0.7371794871794872
437,EventsAdapt,bert-large-cased,19,8,0.8076923076923077
438,EventsAdapt,bert-large-cased,19,9,0.8333333333333334
439,EventsAdapt,bert-large-cased,19,10,0.8205128205128205
440,EventsAdapt,bert-large-cased,20,1,0.8076923076923077
441,EventsAdapt,bert-large-cased,20,2,0.8782051282051282
442,EventsAdapt,bert-large-cased,20,3,0.8333333333333334
443,EventsAdapt,bert-large-cased,20,4,0.8076923076923077
444,EventsAdapt,bert-large-cased,20,5,0.8076923076923077
445,EventsAdapt,bert-large-cased,20,6,0.8653846153846154
446,EventsAdapt,bert-large-cased,20,7,0.8333333333333334
447,EventsAdapt,bert-large-cased,20,8,0.7435897435897436
448,EventsAdapt,bert-large-cased,20,9,0.8205128205128205
449,EventsAdapt,bert-large-cased,20,10,0.8333333333333334
450,EventsAdapt,bert-large-cased,21,1,0.7948717948717948
451,EventsAdapt,bert-large-cased,21,2,0.7884615384615384
452,EventsAdapt,bert-large-cased,21,3,0.8461538461538461
453,EventsAdapt,bert-large-cased,21,4,0.8269230769230769
454,EventsAdapt,bert-large-cased,21,5,0.7948717948717948
455,EventsAdapt,bert-large-cased,21,6,0.8397435897435898
456,EventsAdapt,bert-large-cased,21,7,0.8525641025641025
457,EventsAdapt,bert-large-cased,21,8,0.8205128205128205
458,EventsAdapt,bert-large-cased,21,9,0.8461538461538461
459,EventsAdapt,bert-large-cased,21,10,0.8012820512820513
460,EventsAdapt,bert-large-cased,22,1,0.8269230769230769
461,EventsAdapt,bert-large-cased,22,2,0.8141025641025641
462,EventsAdapt,bert-large-cased,22,3,0.8717948717948718
463,EventsAdapt,bert-large-cased,22,4,0.8269230769230769
464,EventsAdapt,bert-large-cased,22,5,0.8397435897435898
465,EventsAdapt,bert-large-cased,22,6,0.8012820512820513
466,EventsAdapt,bert-large-cased,22,7,0.782051282051282
467,EventsAdapt,bert-large-cased,22,8,0.8076923076923077
468,EventsAdapt,bert-large-cased,22,9,0.8269230769230769
469,EventsAdapt,bert-large-cased,22,10,0.8717948717948718
470,EventsAdapt,bert-large-cased,23,1,0.7884615384615384
471,EventsAdapt,bert-large-cased,23,2,0.8397435897435898
472,EventsAdapt,bert-large-cased,23,3,0.8397435897435898
473,EventsAdapt,bert-large-cased,23,4,0.8333333333333334
